>>> repeatability probe start 2026-08-17 05:35:53
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:14:28,011 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:14:28,012 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:14:28,013 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:14:28,013 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:14:28,017 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:14:28,019 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:14:28,019 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:14:28,022 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:14:28,022 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:14:28,025 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:14:28,025 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:14:28,028 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:14:28,028 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:14:28,033 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:14:28,033 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:14:28,033 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:14:28,040 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:16:01,272 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:16:01,280 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_13e45c0e-bbef-4752-b297-f3000e9ec3b8.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:16:31,507 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:16:31,508 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:16:31,508 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:16:31,509 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:16:31,512 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:16:31,515 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:16:31,515 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:16:31,517 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:16:31,518 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:16:31,521 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:16:31,521 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:16:31,524 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:16:31,524 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:16:31,529 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:16:31,529 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:16:31,529 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:16:31,536 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:16:31,539 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:16:31,539 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:16:31,539 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:16:31,539 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:16:31,539 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:16:31,539 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:16:31,539 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:16:31,642 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:18:16,916 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:18:16,917 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:18:16,918 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:18:16,918 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:18:16,922 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:18:16,924 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:18:16,924 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:18:16,927 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:18:16,927 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:18:16,931 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:18:16,931 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:18:16,933 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:18:16,933 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:18:16,938 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:18:16,938 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:18:16,938 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:18:16,946 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:290: LangGraphDeprecatedSinceV10: create_react_agent has been moved to `langchain.agents`. Please update your import to `from langchain.agents import create_agent`. Deprecated in LangGraph V1.0 to be removed in V2.0.
  sub_agent = create_react_agent(
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
[FC1 27b BARE s1] done  calls=137 tok=25718285/36595 1272.3s
2026-08-17 06:19:45,579 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:19:45,584 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:19:45,584 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:19:45,585 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:19:45,589 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:19:45,592 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:19:45,592 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:19:45,595 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:19:45,595 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:19:45,600 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:19:45,600 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:19:45,603 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:19:45,603 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:19:45,609 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:19:45,609 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:19:45,609 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:19:45,618 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:19:50,879 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:19:50,887 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_9249504f-d55b-4954-85f8-c5ede0ea87bb.json (1 events)
2026-08-17 06:19:52,597 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:19:52,598 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:19:52,599 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:19:52,599 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:19:52,602 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:19:52,603 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:19:52,603 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:19:52,604 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:19:52,604 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:19:52,605 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:19:52,605 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:19:52,608 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:19:52,608 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:19:52,608 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:19:52,609 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:19:52,610 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:19:52,610 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:19:52,610 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:19:52,610 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:19:52,611 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:19:52,612 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:19:52,612 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:19:52,613 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:19:52,613 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:19:52,614 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:19:52,614 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:19:52,614 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:19:52,617 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:19:52,617 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:19:52,617 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:19:52,617 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:19:52,619 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:19:52,619 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:19:52,619 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:19:52,619 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:19:52,619 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:19:52,619 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:19:52,620 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:19:52,623 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:19:52,623 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:19:52,624 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:19:52,624 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:19:52,624 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:19:52,626 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:19:52,626 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:19:52,627 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:19:52,631 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:19:52,631 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:19:52,631 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:19:52,632 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:19:52,639 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:19:52,670 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:19:52,676 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_d767d5f3-4888-4c03-8b95-6fdaf6013ec3.json (1 events)
2026-08-17 06:19:52,683 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:19:55,908 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:20:15,174 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:20:15,175 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:20:15,175 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:20:15,176 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:20:15,179 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:20:15,182 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:20:15,182 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:20:15,184 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:20:15,184 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:20:15,188 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:20:15,188 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:20:15,190 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:20:15,191 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:20:15,195 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:20:15,195 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:20:15,196 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:20:15,203 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:20:16,263 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:20:16,264 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:20:16,265 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:20:16,265 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:20:16,269 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:20:16,271 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:20:16,271 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:20:16,274 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:20:16,274 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:20:16,275 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:20:16,277 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:20:16,277 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:20:16,278 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:20:16,278 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:20:16,278 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:20:16,280 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:20:16,280 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:20:16,281 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:20:16,284 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:20:16,284 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:20:16,285 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:20:16,285 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:20:16,285 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:20:16,287 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:20:16,287 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:20:16,291 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:20:16,291 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:20:16,294 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:20:16,294 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:20:16,294 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:20:16,301 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:20:16,301 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:20:16,301 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:20:16,303 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:20:16,309 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:20:19,819 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:20:19,825 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_61b52aa6-e3a4-446a-bd29-dbebbb5b0343.json (1 events)
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:21:03,357 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:21:03,358 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:21:03,359 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:21:03,359 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:21:03,363 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:21:03,365 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:21:03,365 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:21:03,368 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:21:03,368 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:21:03,371 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:21:03,371 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:21:03,371 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:21:03,372 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:21:03,373 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:21:03,373 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:21:03,374 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:21:03,374 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:21:03,377 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:21:03,379 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:21:03,379 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:21:03,379 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:21:03,379 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:21:03,379 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:21:03,382 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:21:03,382 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:21:03,386 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:21:03,386 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:21:03,387 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:21:03,388 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:21:03,388 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:21:03,393 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:21:03,394 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:21:03,394 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:21:03,403 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:21:03,408 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:21:03,415 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_c4be9b34-8471-4ed6-b2ff-bc7f0349d3a5.json (1 events)
2026-08-17 06:21:03,447 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
/home/alexander/Schreibtisch/ofa-v2/langgraph_eval/agent.py:215: RuntimeWarning: This package (`duckduckgo_search`) has been renamed to `ddgs`! Use `pip install ddgs` instead.
  with DDGS() as ddgs:
2026-08-17 06:21:12,562 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 06:21:12,564 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 06:21:12,564 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 06:21:12,565 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 06:21:12,568 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 06:21:12,571 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 06:21:12,571 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 06:21:12,574 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 06:21:12,574 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 06:21:12,578 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 06:21:12,578 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 06:21:12,580 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 06:21:12,580 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 06:21:12,585 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 06:21:12,585 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 06:21:12,586 [oasis] INFO: Starting OASiS MCP server
2026-08-17 06:21:12,594 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 06:21:16,411 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 06:21:16,419 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_04fb0bc3-7dd0-456a-8b26-32cdcb46bde8.json (1 events)
2026-08-17 06:21:23,898 [oasis.registry] INFO: Loaded discovered config: 5 backends
